State	Population	Violent_crime	Murder_and_nonnegligent_manslaughter	Forcible_rape	Robbery	Aggravated_assault	Property_crime	Burglary	Larceny-theft	Motor_vehicle_theft	Arson	Total_murders	Total_firearms_murder	Handguns_murder	Rifles_murder	Shotguns_murder	Unknown_Firearms_murder	Knives_or_cutting_instruments_murder	Other_weapons_murder	Hands,_fists,_feet_murder	Total_robberies	Firearms_robberies	Knives_or_cutting_instruments_robberies	Other_weapons_robberies	Strong-arm_robberies	Agency_count	Total_aggravated_assaults	Firearms_Agg_Aslts	Knives_or_cutting_instruments_Agg_Aslts	Other_weapons_Agg_Aslts	Personal_weapons_Agg_Aslts	Total_law_enforcement_employees	Male_Enf_emply	Female_Enf_emply	Male_Enf_emply_civil	Female_Enf_emply_civil	Number_of_agencies	Rate_of_Under_Age_Arrests	Student_enrollment	law_enforcement_employees_colleges	Total_officers_colleges	Total_civilians_colleges
AL	2368137	9559	141	681	2969	6036	96540	23309	73326	5982	198	199	135	112	0	23	0	23	24	17	1511	817	91	113	490	303	5700	1529	912	1273	1986	16205	10134	796	2016	3259	346	0.039	137634	435	285	150
AK	470248	3450	16	465	552	2425	16471	2014	13183	1274	129	31	19	3	5	1	10	4	4	4	584	153	53	55	323	35	3309	543	780	795	1191	1944	1116	103	256	469	40	0.087	26413	38	25	13
AZ	4856365	19925	254	1296	6494	11881	157989	39563	109293	17568	912	352	232	152	14	10	56	51	62	7	6864	3036	645	599	2584	96	15337	3618	2604	4577	4538	22130	11261	1345	4336	5188	106	0.135	150596	230	138	92
AR	1654464	11049	95	901	2179	7874	76304	22290	51769	3918	370	130	93	49	7	4	33	12	21	4	2283	1067	137	227	852	199	10044	2548	1522	2163	3811	9964	5671	504	1471	2318	280	0.080	95067	270	196	74
CA	30591410	135504	1443	6806	51675	75580	829754	185381	516213	128160	6171	1811	1257	953	59	44	201	250	201	103	58035	18053	5044	5357	29581	729	95678	16937	15178	33074	30489	118884	68635	10361	14336	25552	460	0.131	952632	1614	943	671
CO	3444448	12315	100	1635	2883	7799	110456	20861	80120	9475	797	117	65	34	0	4	27	20	21	11	3068	1119	308	383	1258	171	9535	1936	2323	2659	2617	17071	10074	1462	1892	3643	234	0.152	159213	303	201	102
CT	2885923	9532	123	519	3414	5476	69192	12937	50044	6211	338	131	97	72	0	1	24	20	8	6	3483	1164	377	297	1645	99	5703	792	1250	2026	1635	10476	7812	807	788	1069	103	0.117	48096	325	250	75
DE	235789	2463	31	102	902	1428	11706	2435	8463	808	30	48	38	25	0	2	11	8	0	2	1829	839	146	136	708	53	3376	824	763	1400	389	3170	2006	317	311	536	54	0.137	24747	115	70	45
DC	601723	7468	132	184	3914	3238	27138	4224	18050	4864	49	131	99	32	0	0	67	20	7	5	3914	1563	246	209	1896	1	3238	606	944	1233	455	4477	3046	899	210	322	1	0.092	0	0	0	0
FL	9106904	58197	542	2792	17316	37547	385161	92299	268516	24346	1185	527	376	315	19	21	21	64	85	2	26071	11105	1730	2206	11030	663	69482	13295	12385	25994	17808	72390	37849	6389	10229	17923	361	0.116	364053	772	485	287
GA	3343710	19571	275	782	6554	11960	162931	40191	109686	13065	526	24	7	6	0	0	1	6	5	6	10551	6192	474	876	3009	458	20287	5160	3580	5553	5994	32780	20552	4029	2668	5531	426	0.137	267585	1152	700	452
HI	950268	2548	19	218	891	1420	31668	5760	22007	3901	349	21	12	12	0	0	0	4	2	3	988	97	80	92	719	3	1953	170	421	642	720	3725	2654	293	235	543	4	0.162	0	0	0	0
ID	918860	2422	15	377	194	1836	23725	4320	18534	871	176	453	364	355	3	1	5	30	43	16	213	61	26	25	101	102	2556	361	472	847	876	4341	2603	190	314	1234	110	0.183	0	0	0	0
IL	8985550	19564	627	1956	18790	26593	274934	59038	190193	25703	1208	198	142	83	11	7	41	19	25	12	495	240	20	60	175	1	1646	805	219	311	311	49849	29991	5452	6968	7438	778	0.142	0	0	0	0
IN	2674033	7619	89	812	2458	4260	101770	20940	76306	5480	631	38	21	9	1	4	7	4	9	4	2665	1122	199	311	1033	286	5496	514	662	1171	3149	15577	9808	761	2315	2693	237	0.155	130011	281	202	79
IA	1827065	6760	27	676	976	5081	56380	12758	40786	3019	394	100	63	30	4	1	28	13	18	6	995	274	95	104	522	188	6010	566	1143	1369	2932	8085	4875	428	1079	1703	238	0.102	70235	133	88	45
KS	2028015	8618	81	889	1463	6185	73103	14799	53168	5136	448	180	116	76	6	16	18	19	25	20	1511	695	120	161	535	236	7354	2016	1545	2274	1519	10565	6388	609	1390	2178	337	0.049	106112	254	154	100
KY	2193122	8453	104	784	3388	4177	83298	19795	59056	4447	418	437	351	263	19	11	58	42	31	13	3673	1716	301	323	1333	330	5056	1060	869	1976	1151	10104	7526	525	773	1280	344	0.116	112574	265	184	81
LA	1608403	11811	276	593	2841	8101	74387	20919	48904	4959	201	24	11	4	2	1	4	6	1	6	4067	2121	248	300	1398	172	14895	3501	2409	3742	5243	18493	11270	2554	1712	2957	147	0.120	88285	370	299	71
ME	852315	1232	14	296	373	549	24732	4420	19704	608	162	424	293	272	3	12	6	59	53	19	414	75	70	52	217	167	794	48	157	235	354	2839	2109	141	242	347	134	0.140	23910	50	32	18
